UniqueCount	AmbigCount
1251	22
226	4
0	288
0	283
0	102
0	0
0	302
3	302
237	4
5	5316
1234	5327
510	1007
0	1001
0	815
2	402
1	405
26	405
5	0
0	3290
0	3228
0	3238
0	3176
0	3238
174	3
199	3
2409	46
0	0
0	0
0	0
2	0
0	634
0	787
20	733
284	2
8	0
0	190
7	190
0	9
0	1
0	1
0	0
5	222
0	222
0	0
0	0
0	188
0	0
0	1
0	1
0	0
0	0
0	0
0	0
9	0
0	0
0	1515
2	1957
0	1696
67	1636
315	2166
0	1782
69	1963
8	130
28	130
0	325
45	325
0	96
13	96
333	4
0	0
143	5
1	0
5	1377
0	1374
1	1269
16	1361
1	1326
6	1294
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
189	1
1	0
1	237
0	232
0	237
0	0
0	0
1	1
0	1
0	0
0	27
29	27
0	0
0	0
0	0
0	977
0	962
0	0
10	0
1	0
0	0
0	0
5	41
0	39
2	0
0	0
0	0
0	0
18	1807
22	1807
0	61
0	61
12	1179
0	1179
0	1
1	0
0	0
1	0
1350	14
0	0
0	124
0	141
0	123
0	62
0	91
0	110
0	72
0	125
0	99
0	119
0	104
11	114
0	126
0	0
59	1
2	1632
28	1302
0	1632
0	0
11	1
0	8
0	8
0	8
0	8
0	8
16	0
2	0
0	0
0	114
30	116
3979	93
2	0
1	181
0	181
0	102
0	23834
0	26646
0	1
0	1
391	10
1	0
1	0
11	191
2	191
3	190
31	1
0	0
0	0
246	5
2	4478
160	4484
34	2
265	5
0	161
0	0
284	6
186	8301
0	8297
22	372
1	372
0	373
0	373
0	1
0	173
0	173
1	173
0	173
1	173
0	1277
39	1278
384	21596
1251	21614
0	0
0	3
1	3
165	1705
0	369
7	364
0	30
10	30
0	1526
0	1430
2	1496
0	1518
0	1550
913	14
185	2
0	0
0	101
0	101
0	0
0	0
0	0
7	0
146	6
2	3509
0	3567
38	3568
60	609
0	609
0	0
0	164
6	164
3	393
0	485
988	538
0	339
1	521
14	508
0	133
3	134
0	117
0	134
0	138
860	17
480	6
121	2
2	0
1	0
0	0
1	0
365	4
201	5
25	985
16	985
1	0
0	864
0	853
12	857
0	738
40	0
80	4
0	364
0	373
0	336
0	401
0	3
1	0
0	0
5	98
0	98
0	56
123	4
0	0
186	2
0	0
0	383
0	383
11	247
1	247
238	4
0	0
0	0
0	0
31	0
230	4
0	618
10	532
0	415
212	2
30	3306
931	5343
23	4400
0	5348
30	2
0	983
28	1016
13	984
6	1015
1804	1230
19	1217
0	1217
551	15
0	1
0	1
40	0
149	480
3	452
12	455
1	0
0	113
1	114
4917	1634
1	1497
0	1480
0	1593
73	1
67	2
0	0
0	0
0	0
0	1
0	0
1244	19
0	0
10	173
0	172
0	0
36	1
345	1566
36	1561
0	1
0	1
3498	62
57	1
1230	26
0	9
0	9
0	1
0	1
0	24
0	24
221	4
208	4
0	3926
99	5651
0	3940
0	4011
0	1886
11	3790
6	6102
4	3835
8	1909
1040	19
0	0
0	728
1326	866
32	891
16	0
423	8
149	147
53	0
2	332
2	332
3	332
41	333
1	332
536	340
1	63
22	64
0	3509
0	1291
0	1167
0	1360
6	1254
0	3702
1	3520
0	3620
0	3591
0	3543
0	3514
847	18
1	0
0	424
8	424
4	1171
92	1316
0	1318
1	3624
182	3558
472	10
17	0
6	4615
0	1826
10	4614
0	4626
0	1813
0	4648
0	3771
9	4630
0	7
0	15
0	17
0	17
3	0
0	80
0	80
0	0
0	0
0	243
8	269
2	250
3	243
2	269
605	8
24	0
0	95
0	96
0	102
0	97
0	103
0	3
1	240
0	3
1664	28
18	167
1	167
1221	875
0	861
171	6
530	7
0	0
4	0
0	0
0	0
1	0
2	0
1	0
0	0
0	0
0	0
28	505
0	505
9	1034
12	704
0	1034
1	704
50	81
0	80
0	2
0	2
0	212
5	212
3	212
7	1
3	0
4	186
4	186
14	2
148	1
22	90
0	90
5	88
0	2092
9	1738
0	2092
13	81
1	81
28	81
68	1
0	17
2	17
8	0
39	2
77	284
4	283
0	0
0	0
0	1
0	1
0	1
0	0
1	504
0	259
0	502
0	498
0	254
4	261
3	0
5	165
6	165
3	144
502	6
0	4
0	3
0	4
0	2
0	2
8	1
0	0
1	0
2	0
6	50
1	52
0	48
0	48
3	1
223	6
11	43
0	43
0	0
184	1
0	0
