"","name","control_mean","starvation_mean","theta","prob","log2FC","rowMeans.txi.length..na.rm...TRUE."
"1","FBgn0000008",363.6756586,255.4084001,0.864390021,0.986504765,0.509846393,4515.15938067741
"2","FBgn0000014",NA,NA,NA,NA,NA,4370.31275
"3","FBgn0000015",NA,NA,NA,NA,NA,3521.874
"4","FBgn0000017",2630.347681,2757.032951,-0.298196442,0.929221259,-0.067863001,10438.7224221136
"5","FBgn0000018",78.17504582,81.93040893,-0.061976437,0.307358702,-0.067690856,1609.06275
"6","FBgn0000022",NA,NA,NA,NA,NA,732.102875
"7","FBgn0000024",7407.795302,8483.465827,-1.341030893,0.996542813,-0.195609549,7267.17874392294
"8","FBgn0000028",464.5344347,474.1198713,-0.06088223,0.298590759,-0.029466317,4019.07499597082
"9","FBgn0000032",152.0020246,190.3354898,-0.429825879,0.963473151,-0.324454051,1756.48150659133
"10","FBgn0000036",2456.852619,2537.974253,-0.218550712,0.883940247,-0.046866117,10842.06275
"11","FBgn0000037",3019.341027,3219.412814,-0.582431729,0.974398706,-0.092563865,5211.97963853441
"12","FBgn0000038",17248.11412,16956.10329,0.16606413,0.792851196,0.024633969,2052.46933903094
"13","FBgn0000039",1380.819995,1345.772365,0.173943154,0.807228135,0.037090859,2182.06593597887
"14","FBgn0000042",9929.176433,6301.461939,4.804664684,1,0.655987487,2084.09213851039
"15","FBgn0000043",378.032372,322.2861544,0.425865805,0.96079852,0.230167571,1441.06275
"16","FBgn0000044",437.7066004,517.147497,-0.330727143,0.938210341,-0.240611675,1539.06275
"17","FBgn0000045",462.6088621,168.2528071,2.140603123,0.986512216,1.459162329,1368.16378171264
"18","FBgn0000046",53.09067004,79.62611415,-0.411810578,0.960953407,-0.584783305,1384.51361552247
"19","FBgn0000047",3.638922993,2.623529305,0.185802864,0.828290321,0.472002616,1411.29836710544
"20","FBgn0000052",199.7920747,454.2137908,-1.859824507,0.999999966,-1.184872154,4094.70437264555
"21","FBgn0000053",416.7226415,797.0330004,-1.673946873,1,-0.935551972,4052.11208128401
"22","FBgn0000055",23799.52263,17671.57087,2.894755348,1,0.429502346,874.082741507209
"23","FBgn0000056",607.4282483,349.8343775,1.746942206,0.999809695,0.796041935,1895.06275
"24","FBgn0000057",226.0625925,243.216332,-0.155582447,0.782315295,-0.105517826,2056.06275
"25","FBgn0000061",1.388172912,0.627619664,0.479643569,0.962052776,1.145224823,1620.13200870005
"26","FBgn0000063",53.99348018,98.4457393,-0.757850357,0.988314152,-0.866543559,1929.54313542533
"27","FBgn0000064",8548.261646,6309.401649,3.334173342,1,0.438127873,2324.06984771342
"28","FBgn0000071",5.069236611,84.75713158,-2.770426894,1,-4.063494354,1348.44759084167
"29","FBgn0000075",24.88249305,33.09881578,-0.269032735,0.916789963,-0.411648561,1568.95456902839
"30","FBgn0000077",143.0061356,144.1129894,-0.014103051,0.012711726,-0.01112333,1037.25900808881
"31","FBgn0000078",288.4112914,96.34945977,1.583801783,0.985949246,1.581779165,1421.06275
"32","FBgn0000079",319.0814123,109.3035268,1.372010856,0.999394729,1.545584617,1418.7602399585
"33","FBgn0000083",1162.036443,916.1394887,1.470036085,0.99407044,0.343016134,1108.00689507971
"34","FBgn0000084",1585.627497,1236.105125,1.487992333,0.995231128,0.359252443,1060.91257596112
"35","FBgn0000092",8.270257908,9.064343244,-0.065653328,0.336596063,-0.132270173,828.06275
"36","FBgn0000094",2.707835557,8.774916925,-0.471232602,0.965997579,-1.696245338,126.259542751284
"37","FBgn0000097",496.6096569,468.9410015,0.210256208,0.869617122,0.08270589,4478.69723397634
"38","FBgn0000100",6445.044094,5801.984231,1.420198009,0.999421439,0.151643854,1026.60607721837
"39","FBgn0000108",14245.56664,15377.5123,-0.626097089,0.977030977,-0.110309122,5969.30663635061
"40","FBgn0000109",58.69013885,59.0228626,-0.007467192,0.002239492,-0.008155772,627.916889187398
"41","FBgn0000114",648.1183198,658.2086881,-0.056959711,0.267186666,-0.022287856,3109.8948135636
"42","FBgn0000115",176.3111609,155.9962794,0.223152103,0.883159515,0.176612184,678.169
