,name,logFC,logCPM,PValue,length
1,FBgn0000008,-0.498403891,5.161250325,2.37E-06,4515.159381
2,FBgn0000014,0,-2.120239339,1,4370.31275
3,FBgn0000015,1.587387454,-2.032791472,1,3521.874
4,FBgn0000017,0.079889012,8.274874021,0.336602547,10438.72242
5,FBgn0000018,0.081170838,3.23528752,0.629858227,1609.06275
6,FBgn0000022,0,-2.120239339,1,732.102875
7,FBgn0000024,0.207888366,9.835217398,0.004223532,7267.178744
8,FBgn0000028,0.040704758,5.759858867,0.697962249,4019.074996
9,FBgn0000032,0.337824223,4.314714405,0.00184854,1756.481507
10,FBgn0000036,0.058955032,8.166017913,0.456799472,10842.06275
11,FBgn0000037,0.104364102,8.486784567,0.122220839,5211.979639
12,FBgn0000038,-0.013199035,10.94034757,0.860556347,2052.469339
13,FBgn0000039,-0.025573308,7.293508707,0.700965439,2182.065936
14,FBgn0000042,-0.645011986,9.864223321,6.17E-21,2084.092139
15,FBgn0000043,-0.22015348,5.339141106,0.024874634,1441.06275
16,FBgn0000044,0.248469899,5.783335846,0.274996946,1539.06275
17,FBgn0000045,-1.449111712,5.18674363,8.62E-24,1368.163782
18,FBgn0000046,0.59017632,2.979560624,0.039789264,1384.513616
19,FBgn0000047,-0.535449218,-0.763637125,0.515277027,1411.298367
20,FBgn0000052,1.197086557,5.241586967,6.85E-22,4094.704373
21,FBgn0000053,0.944811097,6.129542684,1.18E-09,4052.112081
22,FBgn0000055,-0.419003166,11.2178741,6.05E-08,874.0827415
23,FBgn0000056,-0.784681891,5.785780677,2.14E-17,1895.06275
24,FBgn0000057,0.115959155,4.765414595,0.305962328,2056.06275
25,FBgn0000061,-1.864644136,-1.660809515,0.251017689,1620.132009
26,FBgn0000063,0.878047995,3.167795647,1.69E-07,1929.543135
27,FBgn0000064,-0.427057747,9.73725931,3.49E-10,2324.069848
28,FBgn0000071,4.059136797,2.433228757,1.40E-50,1348.447591
29,FBgn0000075,0.40665537,1.838108448,0.115343474,1568.954569
30,FBgn0000077,0.023346855,4.064048884,0.852034476,1037.259008
31,FBgn0000078,-1.569607352,4.478604219,7.55E-11,1421.06275
32,FBgn0000079,-1.533997603,4.632737444,2.47E-06,1418.76024
33,FBgn0000083,-0.331500254,6.901883188,4.21E-07,1108.006895
34,FBgn0000084,-0.348546294,7.342547483,2.88E-06,1060.912576
35,FBgn0000092,0.159612672,0.274269314,0.857147337,828.06275
36,FBgn0000094,1.662239846,-0.144132208,0.102639796,126.2595428
37,FBgn0000097,-0.071162235,5.799472684,0.366015293,4478.697234
38,FBgn0000100,-0.140549285,9.459072351,0.025748989,1026.606077
39,FBgn0000108,0.122948209,10.73317628,0.135372216,5969.306636
40,FBgn0000109,0.017916002,2.807044798,0.937371796,627.9168892
41,FBgn0000114,0.033124371,6.234121625,0.708073728,3109.894814
42,FBgn0000115,-0.164256289,4.271048649,0.168574274,678.169
43,FBgn0000116,-0.601620573,10.51443465,8.05E-18,1397.853502
44,FBgn0000117,0.026763607,9.155268296,0.655411887,2937.781279
45,FBgn0000119,-0.11425665,5.864842717,0.169273075,5839.06275
46,FBgn0000120,-0.267795632,6.530998642,0.048715912,1250.252874
47,FBgn0000121,0.158411723,7.642632857,0.15771661,1362.06275
48,FBgn0000137,2.807365406,-1.872383927,0.2715474,2252.033276
49,FBgn0000139,0.494490835,4.812077997,2.59E-07,1205.931997
50,FBgn0000140,1.389692883,-0.05482684,0.012002044,6153.06275
51,FBgn0000146,-0.092291692,1.271181347,0.800289797,2629.43775
52,FBgn0000147,1.571796997,2.731514537,2.06E-17,1392.06275
53,FBgn0000150,-0.228501202,7.293313258,0.004667813,411.9334886
54,FBgn0000152,0.491596499,4.709234947,1.71E-06,2390.06275
55,FBgn0000153,-0.200018424,6.342474026,0.306107626,1908.052224
56,FBgn0000157,-0.08062742,5.165172519,0.397677585,2898.210091
57,FBgn0000158,0.745835142,-1.872299611,1,1758.660804
58,FBgn0000163,-0.426457874,3.347129953,0.01655818,6613.195024
59,FBgn0000166,-0.734293924,-1.872130818,1,1932.342322
60,FBgn0000173,-0.195886608,6.62382931,0.014041146,1504.34371
61,FBgn0000179,-0.017425739,5.618189256,0.850431868,5228.358351
62,FBgn0000180,-0.044132873,4.402268884,0.72456285,3091.06275
63,FBgn0000181,0.23923948,9.003797483,0.0056381,1152.254483
64,FBgn0000182,-0.529817707,-0.950776305,0.68675425,2831.494257
65,FBgn0000183,-0.039234094,7.439711618,0.553516644,5157.420706
66,FBgn0000206,-0.189586983,2.220847881,0.524751538,2828.06275
67,FBgn0000212,-0.006204797,6.73739072,0.928865318,5154.980575
68,FBgn0000216,0,-2.120239339,1,347.667125
69,FBgn0000221,0.451055384,3.112654857,0.004813874,1265.06275
70,FBgn0000227,0,-2.120239339,1,1167.06275
71,FBgn0000228,0.083036683,6.410224896,0.247229671,3990.827742
72,FBgn0000229,-0.142901734,7.707687798,0.071256404,1377.537249
73,FBgn0000233,0.243044295,0.967681941,0.510874149,2749.06275
74,FBgn0000239,0.161694671,6.286593878,0.036326625,2808.426929
75,FBgn0000241,-1.905393756,0.00827632,0.000183688,2463.06275
76,FBgn0000244,-0.255115195,4.969067223,0.008929347,2867.523847
77,FBgn0000246,0.407035983,3.689001782,0.002283753,2418.78528
78,FBgn0000247,0.019456723,7.232980525,0.784439259,6841.06275
79,FBgn0000250,0.014370504,6.285709643,0.852564818,2041.627211
80,FBgn0000251,0.50900172,1.117012538,0.17018349,2331.157434
81,FBgn0000253,-0.272718912,11.15098488,0.000450037,3677.503199
82,FBgn0000256,-0.112524972,7.373407253,0.15385722,3722.48324
83,FBgn0000257,-0.030504563,5.317074183,0.765981826,2912.06275
84,FBgn0000259,-0.011578495,7.867430548,0.855007264,2143.657804
85,FBgn0000261,-0.325298952,6.216535265,0.000815513,1808.06275
86,FBgn0000273,-0.104231284,9.096882229,0.102013837,4927.960689
87,FBgn0000274,1.120009562,-1.4202151,0.416048243,1165.509536
88,FBgn0000276,-0.230832611,-1.261890866,1,160.4077324
89,FBgn0000277,0.015864667,-1.95060134,1,181.4916692
90,FBgn0000278,0,-2.120239339,1,242.3055
