,name,x,length
1,FBgn0000008,0.008600341,4515.159381
2,FBgn0000014,0.945247531,4370.31275
3,FBgn0000015,0.553590431,3521.874
4,FBgn0000017,0.654222206,10438.72242
5,FBgn0000018,0.52007253,1609.06275
6,FBgn0000022,0.945247531,732.102875
7,FBgn0000024,0.12797812,7267.178744
8,FBgn0000028,0.794577396,4019.074996
9,FBgn0000032,0.005967465,1756.481507
10,FBgn0000036,0.698891596,10842.06275
11,FBgn0000037,0.405904028,5211.979639
12,FBgn0000038,0.781099098,2052.469339
13,FBgn0000039,0.614743553,2182.065936
14,FBgn0000042,0.001901755,2084.092139
15,FBgn0000043,0.113250693,1441.06275
16,FBgn0000044,0.386100448,1539.06275
17,FBgn0000045,0.000775094,1368.163782
18,FBgn0000046,0.156783761,1384.513616
19,FBgn0000047,0.41358045,1411.298367
20,FBgn0000052,0.000393621,4094.704373
21,FBgn0000053,0.002343681,4052.112081
22,FBgn0000055,0.005531221,874.0827415
23,FBgn0000056,0.00110606,1895.06275
24,FBgn0000057,0.35226554,2056.06275
25,FBgn0000061,0.184030013,1620.132009
26,FBgn0000063,0.001093344,1929.543135
27,FBgn0000064,0.005838034,2324.069848
28,FBgn0000071,0.000121688,1348.447591
29,FBgn0000075,0.148099382,1568.954569
30,FBgn0000077,0.814313099,1037.259008
31,FBgn0000078,0.002248988,1421.06275
32,FBgn0000079,0.011415145,1418.76024
33,FBgn0000083,0.00347773,1108.006895
34,FBgn0000084,0.009141507,1060.912576
35,FBgn0000092,0.616133622,828.06275
36,FBgn0000094,0.316724906,126.2595428
37,FBgn0000097,0.210065213,4478.697234
38,FBgn0000100,0.042605101,1026.606077
39,FBgn0000108,0.48733608,5969.306636
40,FBgn0000109,0.868268132,627.9168892
41,FBgn0000114,0.812179015,3109.894814
42,FBgn0000115,0.079770121,678.169
43,FBgn0000116,0.003337998,1397.853502
44,FBgn0000117,0.831595581,2937.781279
45,FBgn0000119,0.230415039,5839.06275
46,FBgn0000120,0.045870498,1250.252874
47,FBgn0000121,0.03858862,1362.06275
48,FBgn0000137,0.287406621,2252.033276
49,FBgn0000139,0.002933935,1205.931997
50,FBgn0000140,0.022928003,6153.06275
51,FBgn0000146,0.65340417,2629.43775
52,FBgn0000147,0.000420757,1392.06275
53,FBgn0000150,0.015901613,411.9334886
54,FBgn0000152,0.004336009,2390.06275
55,FBgn0000153,0.359086666,1908.052224
56,FBgn0000157,0.364556191,2898.210091
57,FBgn0000158,0.645882326,1758.660804
58,FBgn0000163,0.093606805,6613.195024
59,FBgn0000166,0.645882326,1932.342322
60,FBgn0000173,0.133950629,1504.34371
61,FBgn0000179,0.752559068,5228.358351
62,FBgn0000180,0.670673084,3091.06275
63,FBgn0000181,0.030670597,1152.254483
64,FBgn0000182,0.642975172,2831.494257
65,FBgn0000183,0.570904596,5157.420706
66,FBgn0000206,0.475066456,2828.06275
67,FBgn0000212,0.798054628,5154.980575
68,FBgn0000216,0.945247531,347.667125
69,FBgn0000221,0.011076366,1265.06275
70,FBgn0000227,0.945247531,1167.06275
71,FBgn0000228,0.45412254,3990.827742
