,name,logFC,AveExpr,t,P.Value,adj.P.Val,B,length
1,FBgn0000008,-0.476913726,5.127947375,-6.202268011,0.00022566,0.002979934,0.429318333,4515.159381
2,FBgn0000014,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,4370.31275
3,FBgn0000015,0.433715707,-3.918688768,1.017124675,0.337924768,0.548353539,-5.085506349,3521.874
4,FBgn0000017,0.110165491,8.269703073,1.718210822,0.122849893,0.278090675,-6.540237686,10438.72242
5,FBgn0000018,0.103846107,3.202038168,0.76272088,0.466826321,0.662918806,-6.685593405,1609.06275
6,FBgn0000022,0.03440176,-4.116809081,0.126540654,0.902326673,0.94621965,-5.524405276,732.102875
7,FBgn0000024,0.236817446,9.829013305,4.775051006,0.001276233,0.009831051,-1.918201108,7267.178744
8,FBgn0000028,0.064049351,5.749453895,0.745466106,0.47664127,0.668548162,-7.377979866,4019.074996
9,FBgn0000032,0.370234162,4.29045413,5.877340906,0.000326847,0.003843797,0.215876153,1756.481507
10,FBgn0000036,0.08854407,8.161849752,1.543842458,0.159978635,0.331677892,-6.774074153,10842.06275
11,FBgn0000037,0.131964489,8.483805009,3.468083076,0.008044004,0.038358891,-3.812805647,5211.979639
12,FBgn0000038,0.011502403,10.93758063,0.206973036,0.841036524,0.94621965,-8.063872992,2052.469339
13,FBgn0000039,0.002269662,7.291068054,0.058525118,0.954719911,0.974448389,-7.882264337,2182.065936
14,FBgn0000042,-0.617458187,9.826664369,-11.03006382,3.13E-06,0.000240598,4.658021742,2084.092139
15,FBgn0000043,-0.189284544,5.325354436,-2.58043205,0.031729412,0.105120012,-4.86066711,1441.06275
16,FBgn0000044,0.240262346,5.724947018,0.912753158,0.387207149,0.588630134,-7.229360999,1539.06275
17,FBgn0000045,-1.434491308,4.990559534,-9.88069335,7.33E-06,0.000360395,4.182010661,1368.163782
18,FBgn0000046,0.60812598,2.840425491,1.86050731,0.098644262,0.242000829,-5.273832035,1384.513616
19,FBgn0000047,-0.783315441,-1.567670597,-1.153040298,0.281129908,0.500122041,-5.182361615,1411.298367
20,FBgn0000052,1.230580388,5.107962238,9.926403537,7.08E-06,0.000353244,4.188813552,4094.704373
21,FBgn0000053,0.982213698,6.031487155,5.497540489,0.000512813,0.005171112,-0.619749627,4052.112081
22,FBgn0000055,-0.392148016,11.19962387,-5.384795061,0.000588374,0.005692469,-1.134166296,874.0827415
23,FBgn0000056,-0.759950991,5.725620712,-11.73238525,1.93E-06,0.000193264,5.478120306,1895.06275
24,FBgn0000057,0.142570836,4.751375558,1.490929258,0.17310225,0.351422033,-6.351441712,2056.06275
25,FBgn0000061,-1.136503515,-3.140086432,-1.813868041,0.106035252,0.25468246,-4.297185621,1620.132009
26,FBgn0000063,0.924004352,3.064162335,6.134384093,0.000243551,0.00312424,0.817481657,1929.543135
27,FBgn0000064,-0.398821897,9.719724937,-7.162027412,8.13E-05,0.001547186,1.087252354,2324.069848
28,FBgn0000071,3.997751421,1.308490141,16.67778664,1.17E-07,6.25E-05,6.339073851,1348.447591
29,FBgn0000075,0.436546273,1.718118403,2.078076113,0.070194797,0.189080016,-4.630619311,1568.954569
30,FBgn0000077,0.051593388,4.048400707,0.795172416,0.44873158,0.648807976,-6.916618787,1037.259008
31,FBgn0000078,-1.559073871,4.210222533,-5.215570364,0.00072558,0.006598189,-0.56589831,1421.06275
32,FBgn0000079,-1.5075901,4.323621497,-3.623412687,0.006382318,0.032393377,-2.903224847,1418.76024
33,FBgn0000083,-0.304440299,6.889879336,-7.913730625,3.92E-05,0.000941347,2.06042201,1108.006895
34,FBgn0000084,-0.320076954,7.3285582,-4.988106215,0.00096785,0.008100133,-1.47031731,1060.912576
35,FBgn0000092,0.270396934,-0.009481719,0.678281397,0.51612025,0.706272457,-5.823736777,828.06275
36,FBgn0000094,1.132628256,-1.219156218,1.296529514,0.229799333,0.430457114,-5.07168347,126.2595428
37,FBgn0000097,-0.041623697,5.794715691,-1.043740111,0.326153314,0.548079288,-7.11500468,4478.697234
